# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.08
1                       2.08
2                       2.08
4                       2.08
8                       2.08
16                      2.09
32                      2.34
64                      2.59
128                     2.63
256                     3.31
512                     3.33
1024                    3.89
2048                    4.06
4096                    4.95
8192                    5.37
16384                   6.32
32768                   8.72
65536                  11.90
131072                 19.01
262144                 29.75
524288                 51.35
1048576                93.91
2097152               179.25
4194304               348.86
